Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
103012967799090,Kojo for Congress,FRIENDS OF KOJO ASAMOA-CAESAR,1033,9
179690228751414,Ben Albritton,Ben Albritton,1032,7
186097812110,BioNJ,BIONJ INC,1032,8
349722662249360,Hoosiers for Clean Energy,Mass Ave Public Relations,1031,14
138141366212571,Gravis Marketing,GRAVIS MARKETING INC.,1030,12
101276824722213,Cota for Council,Matthew H Cota,1030,32
109529977080964,Miller4Judge,Luke Camara,1029,19
1789874601233272,Steve Cox For Congress,STEVE COX FOR CONGRESS 2020,1029,11
108216593982206,Real Recycling Connecticut,Real Recycling Connecticut,1029,1
103195591164686,America First,Trung Vu,1028,9
2226590180720339,Plaintiff in Chief,James D. Zirin,1028,20
548630255630434,Stevens Orozco,OROZCO2020 COMMITTEE FOR,1028,13
189758874031,Outside TV,"OUTSIDE TELEVISION, INC.",1028,6
933988510145321,San Jose Clean Energy,City of San José,1027,3
2084855378228902,Fresh Edits,These ads ran without a disclaimer,1027,10
2422754341281033,Bobby Digby for Circuit Judge,Bobby Digby for Circuit Judge,1027,8
169830155029,m/Oppenheim Associates,m/Oppenheim,1027,18
851717058508365,Courtney Cox for Judge,Courtney Cox for Judge Committee,1027,80
104824764328884,Freddy Ramirez for Texas Senate,Alfredo M Ramirez,1027,26
1078874175622808,Nicholas Rowley,These ads ran without a disclaimer,1026,1
2357719174512348,Joe Scott for Supervisor of Elections,"Joevahn ""Joe"" Scott, Democrat for Supervisor of Elections",1025,11
100451541350895,Jim Palmer,Jim Palmer for OC Board of Education 2020,1025,21
182912205127375,Jonathan Stickland,Jonathan Spence Stickland,1025,3
115028271899851,Stanislaus County Democratic Party,STANISLAUS COUNTY DEMOCRATIC CENTRAL COMMITTEE - FEDERAL,1025,5
597117373778973,Addicted to Golf,The Dude's Designs,1024,1903
164302750336862,Wish,These ads ran without a disclaimer,1024,1
2254455051442790,Flag and Cross,Flag & Cross,1024,18
754069418112623,Right Now USA,RIGHT NOW USA,1024,6
543707709034202,Keep the Angels,Anaheim Chamber of Commerce,1024,3
190543018083996,Joan Greene for Congress,JOAN GREENE FOR CONGRESS,1022,17
1089577934559990,Joe Reynolds2020,FRIENDS OF JOE REYNOLDS,1022,22
110898450405546,Greg Archetto for State Representative,Taxpayers for Greg Archetto,1021,8
105903767619650,Hometown Careers,Michael P Giustino,1021,5
263278527906342,June Cutter for State Assembly,Cutter for Assembly 2020,1020,1
208876186220,Great Transition Initiative,"TELLUS INSTITUTE, INC.",1020,23
102645737935377,LaTarndra Strong for OCS Board of Education,Friends to Elect LaTarndra Strong,1020,2
118102761610004,Freeman Ng,Freeman Ng,1020,5
108879057120462,Susan Collins for City Council 2020,Collins for City Council 2020,1019,24
710669049286394,Woo the People,Khosro David Illulian,1018,65
345687882108325,Cameron Whitten,Friends of Cameron Whitten,1018,13
107138687420433,Ben Reynoso for San Bernardino 5th Ward City Council,BENJAMIN JOSE CHRISTMAS-REYNOSO,1017,19
670360409662447,Rich Herman for U.S. Congress TX-13,Richard Harry Jr Herman,1017,51
102035301334825,Fair Pay Maine,MAINE PEOPLE'S ALLIANCE INC,1017,40
81363295697,Detroit Regional Chamber,Detroit Regional Chamber,1017,3
102257621221526,Darrell Hull for Parker County Sheriff,Darrell Wade Jr Hull,1016,10
716869668367099,Kennett Democrats,Wayne A Braffman,1015,20
104243792943104,Saybrook University,TCS Education System,1015,12
370074520150686,Simple Health,These ads ran without a disclaimer,1015,4
106916074935,Lance Wallnau,"Ninja Sheep Marketing, Inc.",1015,10
114815188528887,Neighborhood Nurse,Kristina Anne Larsen,1014,40
121974269207042,"Guy Spears for Wilbarger County Commissioner, Precinct 1",Guy Keith Spears,1014,15
522226351139937,Archdiocese of Dubuque,"ARCHDIOCESE OF DUBUQUE, THE",1013,2
192677667500345,Charleston Habitat for Humanity,Charleston Habitat For Humanity,1013,10
100640211320183,Derek Barbee for Shelby County Sheriff,Derek Barbee For Sheriff,1013,28
497201940327521,James Chang,James Chang for Democratic Party Central Committee AD 15 2020 FPPC #1423234,1013,10
119193192945,NC House Republicans,North Carolina House Republican Caucus,1012,4
105980094198690,Paul Reece for Miami County Sheriff,Committee To Elect Paul Reece,1012,10
126057642122621,Hillary O'Connor Mueri,HILLARY O'CONNOR MUERI FOR OHIO,1012,68
487569614682924,CAPP USA,Yellow Line Productions LLC,1010,107
22872837832,Food Lifeline,FOOD LIFELINE,1010,14
207985279219826,AARP Rhode Island,AARP,1010,13
56278751849,Mid-America Regional Council,MID-AMERICA REGIONAL COUNCIL,1010,11
666146200500920,Tom Adair for Texas House District 67,Tom Adair for Texas,1009,22
1811405699080331,Recovery Advocacy Project,Recovery Advocacy Project,1009,7
431574684286070,"Melissa Jordan, Delaware County Recorder",The Committee to Elect Melissa Jordan,1009,30
236661948182,SEMA Action Network,SPECIALTY EQUIPMENT MARKET ASSOCIATION,1009,5
380734712750735,We the Patients - New York,COMMUNITY SERVICE SOCIETY OF NEW YORK,1008,30
391331327634722,Re - Elect Constable Rick Sharp: Galveston County Pct 1,Re-Elect Constable Rick Sharp Campaign,1008,8
101692507883720,Lena Taylor for Mayor,Lena Taylor For Mayor,1008,44
512170455506803,Iowa Pro-Life Action,Iowa Pro-Life Action,1008,2
108314847430825,Teachers for Local Control,These ads ran without a disclaimer,1008,1
1181105015356858,Ron Wright,Ron Wright for Congress,1008,27
107564660760427,Aaron Watson,Aaron Lashawn Watson,1007,4
629466310455791,Community First Credit Union,These ads ran without a disclaimer,1007,1
745910525468062,National Center on Sexual Exploitation,National Center on Sexual Exploitation,1007,3
88248418523,Generation West Virginia,"GENERATION WEST VIRGINIA, INC.",1006,22
109408883879444,Elect Steve Williams for Constable Precinct 3,Steven Craig Williams,1004,36
684374918656177,Efren Martinez for State Assembly,Efren Martinez,1004,4
101615394742036,Carolyn Hoff for LACDP Central Committee Member in Assembly District 46,Favel Jean Jens,1002,18
952072381545976,Crumiller P.C.,Crumiller P.C.,1002,9
565190416876790,NYC Mayor’s Office to End Domestic and Gender-Based Violence,NYC Mayor’s Office to End Domestic and Gender-Based Violence,1001,4
145590872121075,Citizens for LCCC,Citizens for LCCC,1001,22
116907753042353,TOL,Serdar Turan,1001,2
157277400862,The Bell Policy Center,BELL POLICY CENTER,1001,13
135323630363148,"ASK Screening Program, CU-Anschutz",Kathleen Alicia May,1001,15
2020189131617932,Amburr Dawn Drury for District Judge,Amburr Dawn Drury,1001,26
1552675688372326,Color Of Change PAC,Color Of Change PAC,1000,2
812568952119893,Tennessee Advocates for Planned Parenthood,Tennessee Advocates for Planned Parenthood,1000,173
140978009255170,Leon County,Leon County Government,1000,3
285496284908358,Texas State Association of Fire Fighters,Texas State Association of Fire Fighters,1000,2
55160732111,Cystic Fibrosis Foundation,CYSTIC FIBROSIS FOUNDATION,1000,1
261304424911,NDResponse,Eric Willaim Jensen,1000,1
709491732434343,שורת הדין - Shurat HaDin,Karen Almog,1000,2
174585105913598,Miyoko's,Miyoko's,1000,3
1570490883240959,Keepwvgreyhounds,West Virginia Kennel Owners Association,1000,1
125403300839149,West Law Firm LC - West Virginia Personal Injury Lawyers,These ads ran without a disclaimer,1000,1
1193703730754403,Tom Ervin for Texas State Representative HD108,Tom Ervin Political Campaign,1000,12
109637125764343,Population Connection,Population Connection,1000,19
20785552513,GearJunkie,These ads ran without a disclaimer,1000,1
103298137816259,Moderates United,MODERATES UNITED,1000,8
183002305543,Tearfund USA,Tearfund USA,1000,5
406601156398065,Family Policy Alliance of Georgia,Family Policy Alliance of Georgia,1000,4
